Temperature,Meeting Friends/Family (Indoor) High ,Meeting Friends/Family (Indoor) Moderate ,Meeting Friends/Family (Outdoor) High ,Meeting Friends/Family (Outdoor) Moderate ,Domestic Travel High ,Domestic Travel Moderate ,International Travel High ,International Travel Moderate ,Cafes and Restaurants High ,Cafes and Restaurants Moderate ,Pubs and Bars High ,Pubs and Bars Moderate ,Sports and Leisure High ,Sports and Leisure Moderate ,Hospitals/ Care and Nursing Home Visits High ,Hospitals/ Care and Nursing Home Visits Moderate ,Non-Essential Shops ,School Closure ,Rt<1
5.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0
6.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.32,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
7.87,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
8.08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
10.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
7.83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
9.38,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
8.06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.84,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
8.51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0
7.56,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0
8.21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
9.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
6.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
7.13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
7.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
10.65,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
5.27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
9.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
7.81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
8.65,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0
8.04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0
8.42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
8.38,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
5.55,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0
